x_inner	x_outer	x_diff	phi_inner	phi_outer	phi_diff	theta_inner	theta_outer	theta_diff
63.7786	77.8107	 -14.0321	0.179603	0.406115	0.226512	0.828928	1.70022	0.871296
57.6286	-139.883	 197.512	0.431459	-0.148429	-0.579888	0.717932	2.50841	1.79048
72.0156	-16.672	 88.6876	-0.145677	1.31936	1.46504	0.900789	2.60456	1.70378
61.093	93.6565	 -32.5635	0.293837	-1.13619	-1.43003	0.711166	2.73146	2.0203
67.4259	-136.842	 204.268	0.0383685	0.31677	0.278401	0.853447	2.65173	1.79828
62.6911	125.12	 -62.4293	0.244198	-0.6129	-0.857098	0.789503	2.69844	1.90894
68.6299	115.742	 -47.1123	-0.0712719	0.14973	0.221001	0.843046	2.19493	1.35188
78.8864	98.241	 -19.3546	-0.455252	-0.970233	-0.514981	0.89778	2.64978	1.752
67.5982	-133.653	 201.252	0.0375485	0.424486	0.386938	0.855804	2.632	1.7762
68.6274	-29.2031	 97.8305	-0.00975696	-1.21643	-1.20667	0.786271	2.79354	2.00727
72.0285	-85.1066	 157.135	-0.129791	-0.547012	-0.417221	0.900912	2.67296	1.77205
66.9797	40.2791	 26.7006	0.0564575	-0.948024	-1.00448	0.833854	0.662431	-0.171423
65.4467	75.8686	 -10.4219	0.0934688	0.969583	0.876114	0.775149	1.25741	0.482262
71.2407	31.7692	 39.4715	-0.158898	1.49262	1.65152	0.833025	2.85874	2.02571
64.2376	75.4881	 -11.2505	0.177421	-1.20858	-1.386	0.839658	2.63142	1.79176
75.1563	55.6636	 19.4927	-0.29933	1.18438	1.48371	0.913451	1.58332	0.669867
62.9623	138.346	 -75.3833	0.222139	-0.304204	-0.526344	0.83596	2.7285	1.89254
73.1729	-140.186	 213.359	-0.223304	0.327145	0.550449	0.832608	2.82146	1.98886
61.0811	58.6032	 2.47785	0.287678	-1.39048	-1.67816	0.814046	2.82668	2.01263
67.8425	-138.046	 205.888	0.0382604	0.378368	0.340107	0.816469	2.68281	1.86634
63.8714	64.9395	 -1.06811	0.131791	1.3879	1.25611	0.71451	2.75741	2.0429
66.4954	-43.0479	 109.543	0.0395749	-1.09116	-1.13073	0.800651	2.78766	1.98701
73.6816	124.849	 -51.167	-0.220195	-0.372688	-0.152493	0.838359	1.6855	0.847139
65.1113	100.084	 -34.9726	0.131429	0.863618	0.732189	0.837429	2.86615	2.02872
58.3707	130.577	 -72.2061	0.445374	-0.746549	-1.19192	0.94547	2.73736	1.79189
65.2998	93.7016	 -28.4018	0.107302	0.904617	0.797315	0.795123	2.79857	2.00345
